review_id,order_id,rating,review
1,82,4,Morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante.
2,4,2,Sed ante.
3,437,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
4,629,5,Curabitur convallis.
5,220,2,Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.
6,888,5,Duis aliquam convallis nunc.
7,354,2,In congue. Etiam justo.
8,167,5,Duis ac nibh. Fusce lacus purus aliquet at feugiat non pretium quis lectus.
9,866,3,Mauris lacinia sapien quis libero.
10,965,2,Vivamus vestibulum sagittis sapien.
11,968,2,Nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.
12,217,4,Etiam justo. Etiam pretium iaculis justo.
13,635,5,Vivamus vel nulla eget eros elementum pellentesque.
14,32,3,Ut at dolor quis odio consequat varius.
15,630,2,Vivamus vestibulum sagittis sapien.
16,402,2,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.
17,801,2,Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.
18,538,2,Nullam varius.
19,466,5,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
20,329,5,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
21,663,3,Donec ut mauris eget massa tempor convallis.
22,524,1,Maecenas tincidunt lacus at velit.
23,334,5,Sed accumsan felis.
24,871,5,Nulla ac enim. In tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem.
25,975,3,Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat.
26,871,5,Maecenas rhoncus aliquam lacus.
27,544,2,Aenean sit amet justo. Morbi ut odio.
28,244,5,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
29,929,2,Donec diam neque vestibulum eget vulputate ut ultrices vel augue.
30,390,4,Donec vitae nisi. Nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla.
31,758,5,Nullam varius. Nulla facilisi.
32,466,1,Integer ac leo. Pellentesque ultrices mattis odio.
33,905,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi. Integer ac neque.
34,64,3,Quisque arcu libero rutrum ac lobortis vel dapibus at diam.
35,686,3,Quisque ut erat. Curabitur gravida nisi at nibh.
36,546,1,Vivamus vel nulla eget eros elementum pellentesque.
37,584,1,Nulla tellus. In sagittis dui vel nisl.
38,606,5,Nunc purus.
39,376,4,In blandit ultrices enim. Lorem ipsum dolor sit amet consectetuer adipiscing elit.
40,614,5,Praesent blandit.
41,831,4,In hac habitasse platea dictumst.
42,415,2,Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.
43,510,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.
44,310,4,Quisque ut erat. Curabitur gravida nisi at nibh.
45,255,1,Mauris ullamcorper purus sit amet nulla.
46,570,4,Lorem ipsum dolor sit amet consectetuer adipiscing elit.
47,679,2,Phasellus sit amet erat.
48,70,4,In sagittis dui vel nisl.
49,978,3,Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci.
50,751,5,Etiam pretium iaculis justo.
51,554,1,Curabitur in libero ut massa volutpat convallis. Morbi odio odio elementum eu interdum eu tincidunt in leo.
52,460,3,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
53,859,2,In congue.
54,470,2,Pellentesque eget nunc.
55,243,5,Nunc rhoncus dui vel sem.
56,108,1,Quisque porta volutpat erat. Quisque erat eros viverra eget congue eget semper rutrum nulla.
57,469,4,Fusce consequat. Nulla nisl.
58,882,1,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
59,948,5,Sed sagittis.
60,974,1,Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl. Aenean lectus.
61,882,2,Morbi a ipsum.
62,123,1,Donec dapibus.
63,804,1,Suspendisse potenti.
64,237,4,Nam nulla. Integer pede justo lacinia eget tincidunt eget tempus vel pede.
65,943,5,Proin at turpis a pede posuere nonummy.
66,551,4,Mauris lacinia sapien quis libero.
67,550,1,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
68,482,5,Donec quis orci eget orci vehicula condimentum.
69,171,2,Nunc purus.
70,749,2,Fusce consequat. Nulla nisl.
71,747,2,Suspendisse potenti. Nullam porttitor lacus at turpis.
72,92,3,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
73,799,2,Pellentesque ultrices mattis odio. Donec vitae nisi.
74,227,2,Nullam molestie nibh in lectus. Pellentesque at nulla.
75,72,2,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
76,749,5,Suspendisse potenti.
77,497,4,Duis bibendum. Morbi non quam nec dui luctus rutrum.
78,942,1,Nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla.
79,428,1,Nulla neque libero convallis eget eleifend luctus ultricies eu nibh. Quisque id justo sit amet sapien dignissim vestibulum.
80,623,1,Lorem ipsum dolor sit amet consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.
81,955,1,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.
82,592,3,Quisque ut erat.
83,35,5,Curabitur gravida nisi at nibh.
84,919,5,Integer pede justo lacinia eget tincidunt eget tempus vel pede. Morbi porttitor lorem id ligula.
85,840,1,Nullam molestie nibh in lectus. Pellentesque at nulla.
86,937,1,Proin leo odio porttitor id consequat in consequat ut nulla. Sed accumsan felis.
87,914,3,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
88,556,2,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
89,601,2,Vivamus tortor.
90,632,1,Vivamus tortor. Duis mattis egestas metus.
91,455,3,Nullam varius.
92,182,4,Aenean fermentum.
93,114,1,Curabitur at ipsum ac tellus semper interdum.
94,317,3,Integer ac leo. Pellentesque ultrices mattis odio.
95,253,3,Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
96,920,5,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
97,666,4,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
98,8,4,Nullam sit amet turpis elementum ligula vehicula consequat.
99,817,3,Quisque arcu libero rutrum ac lobortis vel dapibus at diam. Nam tristique tortor eu pede.
100,663,3,Vivamus tortor. Duis mattis egestas metus.
101,379,5,Maecenas tincidunt lacus at velit.
102,748,3,Vestibulum ac est lacinia nisi venenatis tristique.
103,39,5,Curabitur at ipsum ac tellus semper interdum.
104,212,1,Morbi a ipsum. Integer a nibh.
105,946,5,Morbi vel lectus in quam fringilla rhoncus.
106,454,3,Nulla ut erat id mauris vulputate elementum.
107,397,2,Nulla facilisi.
108,741,4,Morbi porttitor lorem id ligula.
109,557,3,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
110,546,5,Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.
111,947,4,Duis aliquam convallis nunc.
112,658,5,Curabitur in libero ut massa volutpat convallis.
113,641,1,Nulla ut erat id mauris vulputate elementum. Nullam varius.
114,180,2,Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue.
115,919,2,In congue.
116,808,5,Integer pede justo lacinia eget tincidunt eget tempus vel pede. Morbi porttitor lorem id ligula.
117,703,1,Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl.
118,389,1,Fusce posuere felis sed lacus.
119,392,2,Integer a nibh. In quis justo.
120,214,5,Nunc purus.
121,11,4,Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim.
122,559,4,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
123,188,2,Nullam orci pede venenatis non sodales sed tincidunt eu felis.
124,630,2,In congue.
125,63,3,Morbi vel lectus in quam fringilla rhoncus.
